"","latitude","longitude","ratio","vegetationType"
"274",-0.36667,35.35,0.510582011,"forest"
"275",25.589,108.0509,0.193119625,"forest"
"276",24.5899,108.7527,0.221690044,"forest"
"277",25.5845,105.1376,0.117015943,"forest"
"278",26.8336,109.5946,0.255282074,"forest"
"279",23.08,112.35,0.483599089,"forest"
"280",26.08,99.57,0.344182201,"forest"
"281",26.08,109.4,0.17061144,"forest"
"282",26.08,108.6,0.242281563,"forest"
"283",26.08,99.62,0.274575243,"forest"
"284",22.33,107.84,0.157628513,"forest"
"285",22.33,107.84,0.158157884,"forest"
"286",22.33,107.84,0.165607146,"forest"
"287",22.33,107.84,0.170376055,"forest"
"288",22.33,107.84,0.181510073,"forest"
"289",22.33,107.84,0.182427536,"forest"
"290",22.33,107.84,0.183858723,"forest"
"291",22.33,107.84,0.1878333,"forest"
"292",22.33,107.84,0.187993353,"forest"
"293",22.33,107.84,0.19118893,"forest"
"294",22.33,107.84,0.192777778,"forest"
"295",22.33,107.84,0.193128485,"forest"
"296",22.33,107.84,0.19329089,"forest"
"297",22.33,107.84,0.193897365,"forest"
"298",22.33,107.84,0.197092536,"forest"
"299",22.33,107.84,0.22090497,"forest"
"300",24.33,99.45,0.157338771,"forest"
"301",24.33,99.45,0.169918698,"forest"
"302",25.33,83,0.168453608,"forest"
"303",25.33,107.92,0.193512111,"forest"
"304",26.33,108,0.100146021,"forest"
"305",26.33,106.73,0.130350195,"forest"
"306",26.33,108.17,0.184680952,"forest"
"307",26.33,117.31,0.503021136,"forest"
"308",21.58,110.06,0.212065039,"forest"
"309",21.58,110.06,0.294483063,"forest"
"310",21.58,110.06,0.310723503,"forest"
"311",21.58,109.7,0.264184111,"forest"
"312",21.58,109.7,0.274012174,"forest"
"313",22.58,109.88,0.165672631,"forest"
"314",22.58,109.88,0.185322461,"forest"
"315",22.58,109.88,0.311478017,"forest"
"316",24.58,108.75,0.221690044,"forest"
"317",24.58,104.68,0.190271817,"forest"
"318",24.58,108.28,0.134851663,"forest"
"319",25.58,99.62,0.125694302,"forest"
"320",25.58,105.13,0.117015943,"forest"
"321",25.58,108.05,0.193119625,"forest"
"322",25.58,99.92,0.368061719,"forest"
"323",25.58,108.08,0.231133532,"forest"
"324",25.58,99.8,0.116525424,"forest"
"325",25.58,108.33,0.151437634,"forest"
"326",24.705,117.2017,0.160897095,"forest"
"327",24.83,121.57,0.176898734,"forest"
"328",26.83,109.75,0.256266003,"forest"
"329",26.83,109.75,0.205301205,"forest"
"330",26.83,109.75,0.064703464,"forest"
"331",26.83,109.58,0.255282074,"forest"
"332",26.7068,103.8421,0.276186145,"forest"
"333",24.7041,114.5084,0.226957192,"forest"
"334",21.7032,108.3051,0.316961045,"forest"
"335",27.1362,107.6743,0.172758256,"forest"
"336",25.3853,109.7537,0.168539326,"forest"
"337",28.38333333,109.55,0.164083333,"forest"
"338",18.63333333,109.3166667,0.124576605,"forest"
"339",19.88333333,110.6166667,0.691378096,"forest"
"340",28.0085,102.5047,0.099976723,"forest"
"341",26.5085,114.4053,0.180365722,"forest"
"342",25.0076,111.7075,0.180103508,"forest"
"343",26.5076,114.0533,0.256124067,"forest"
"344",25.2567,107.9973,0.201777276,"forest"
"345",26.5058,118.1046,0.218624918,"forest"
"346",26.287547,118.051649,0.149171271,"forest"
"347",21.886611,100.830882,0.363268062,"forest"
"348",26.19166667,117.4333333,0.241220635,"forest"
"349",25.31666667,102.55,0.376832458,"forest"
"350",26.81666667,109.6333333,0.184158882,"forest"
"351",26.5004,110.1063,0.300283487,"forest"
"352",25.4361,99.7451,0.130719441,"forest"
"353",26.3084,107.9799,0.209459459,"forest"
"354",25.4334,99.6867,0.348957842,"forest"
"355",-18.93358,48.430852,1.138932608,"forest"
"356",26.6218,105.7739,0.256701031,"forest"
"357",23.12,110,0.176596351,"forest"
"358",23.12,111.88,0.201662944,"forest"
"359",26.12,109.4,0.267777326,"forest"
"360",27.12,110.23,0.188365651,"forest"
"361",28.12,119.14,0.225423112,"forest"
"362",28.12,119.14,0.256040745,"forest"
"363",28.12,119.14,0.281055901,"forest"
"364",28.12,119.14,0.345092932,"forest"
"365",25.37,108.13,0.186576548,"forest"
"366",25.37,99.73,0.079928476,"forest"
"367",25.37,108.07,0.171568014,"forest"
"368",26.37,106.97,0.264519191,"forest"
"369",18.62,104.68,0.155859472,"forest"
"370",18.62,-89.55,0.255400864,"forest"
"371",25.62,108.28,0.190547778,"forest"
"372",26.62,109.52,0.20825274,"forest"
"373",26.62,105.77,0.256701031,"forest"
"374",27.62,109.58,0.247252747,"forest"
"375",25.8075,110.6026,0.137225549,"forest"
"376",25.87,99.73,0.109753788,"forest"
"377",25.87,99.62,0.07389575,"forest"
"378",28.87,107.92,0.248356345,"forest"
"379",21.91027778,101.2744444,0.197967688,"forest"
"380",26.3057,118.7029,0.217556628,"forest"
"381",25.1771,109.936,0.267731878,"forest"
"382",26.2396,109.3244,0.167496747,"forest"
"383",26.8021,117.9262,0.198717055,"forest"
"384",21.9869,107.0732,0.136355801,"forest"
"385",26.2351,99.57,0.308419768,"forest"
"386",24.236,104.4172,0.2245105,"forest"
"387",27.1092,109.3553,0.266480966,"forest"
"388",26.7342,108.7154,0.361038331,"forest"
"389",23.16916667,112.5394444,0.222,"forest"
"390",23.16916667,112.5394444,0.223,"forest"
"391",23.16916667,112.5394444,0.557,"forest"
"392",27.6056,118.507,0.235700968,"forest"
"393",26.602,118.1093,0.304424203,"forest"
"394",21.852,107.711,0.271435044,"forest"
"395",21.4761,109.7226,0.490763135,"forest"
"396",28.5386,106.2862,0.177666818,"forest"
"397",27.1002,106.7058,0.280470836,"forest"
"398",26.3502,110.2084,0.235456681,"forest"
"399",26.16,117.54,0.13357034,"forest"
"400",26.16,117.54,0.135257482,"forest"
"401",26.16,117.54,0.145819831,"forest"
"402",26.16,117.54,0.150414805,"forest"
"403",26.16,117.54,0.169356753,"forest"
"404",26.16,117.54,0.174551573,"forest"
"405",26.16,117.54,0.17533814,"forest"
"406",26.16,117.54,0.178515941,"forest"
"407",26.16,117.54,0.185044072,"forest"
"408",26.16,117.54,0.187237085,"forest"
"409",26.16,117.54,0.187464965,"forest"
"410",26.16,117.54,0.196439173,"forest"
"411",26.16,117.54,0.197865345,"forest"
"412",26.16,117.54,0.198608137,"forest"
"413",26.16,117.54,0.200635867,"forest"
"414",26.16,117.54,0.203121926,"forest"
"415",26.16,117.54,0.203283554,"forest"
"416",26.16,117.54,0.209190623,"forest"
"417",26.16,117.54,0.20938893,"forest"
"418",26.16,117.54,0.21023015,"forest"
"419",26.16,117.54,0.212632006,"forest"
"420",26.16,117.54,0.215857605,"forest"
"421",26.16,117.54,0.217307692,"forest"
"422",26.16,117.54,0.217504611,"forest"
"423",26.16,117.54,0.219092968,"forest"
"424",26.16,117.54,0.222348199,"forest"
"425",26.16,117.54,0.227646417,"forest"
"426",26.16,117.54,0.231234804,"forest"
"427",26.16,117.54,0.232849887,"forest"
"428",26.16,117.54,0.241220635,"forest"
"429",26.16,117.54,0.243338835,"forest"
"430",26.16,117.54,0.246659209,"forest"
"431",26.16,117.54,0.250139339,"forest"
"432",26.16,117.54,0.250541469,"forest"
"433",26.16,117.54,0.260892667,"forest"
"434",26.16,117.54,0.264543051,"forest"
"435",26.16,117.54,0.268791489,"forest"
"436",26.16,117.54,0.285588972,"forest"
"437",26.16,117.54,0.290452158,"forest"
"438",26.16,117.54,0.291904219,"forest"
"439",26.16,117.54,0.304601861,"forest"
"440",26.16,117.54,0.324297166,"forest"
"441",26.16,117.54,0.361959288,"forest"
"442",26.16,117.54,0.399727922,"forest"
"443",26.16,117.54,0.412047219,"forest"
"444",26.16,117.54,0.434750598,"forest"
"445",26.16,99.0807,0.075106307,"forest"
"446",27.16,118.64,0.287816211,"forest"
"447",27.16,118.64,0.291184328,"forest"
"448",27.16,118.64,0.311640697,"forest"
"449",27.16,118.64,0.326906223,"forest"
"450",27.16,118.64,0.342353682,"forest"
"451",27.16,118.64,0.365225838,"forest"
"452",20.41,110.21,0.116884888,"forest"
"453",20.41,110.21,0.188991719,"forest"
"454",20.41,110.21,0.200173435,"forest"
"455",20.41,110.21,0.209829116,"forest"
"456",20.41,110.21,0.215101838,"forest"
"457",20.41,110.21,0.22421632,"forest"
"458",20.41,110.21,0.225862615,"forest"
"459",20.41,110.21,0.246236399,"forest"
"460",20.41,110.21,0.26664621,"forest"
"461",20.41,110.21,0.290015053,"forest"
"462",26.2823,113.6424,0.235609316,"forest"
"463",28.4064,106.0754,0.177649589,"forest"
"464",25.9064,107.6815,0.223279597,"forest"
"465",22.9028,115.6023,0.179307349,"forest"
"466",28.9028,113.8033,0.242846263,"forest"
"467",24.5876,104.6845,0.190271817,"forest"
"468",18.70972,108.831208,0.088005215,"forest"
"469",25.209,111.3065,0.223185953,"forest"
"470",30.209,109.4018,0.200451253,"forest"
"471",21.459,109.411,0.297297297,"forest"
"472",27.709,107.614,0.098593257,"forest"
"473",25.2063,111.3093,0.188511207,"forest"
"474",26.2063,109.2849,0.217153718,"forest"
"475",24.5206,121.109,0.285588476,"forest"
"476",25.9581,108.9296,0.177629488,"forest"
"477",25.7072,116.9059,0.2527339,"forest"
"478",26.7054,105.9059,0.440685785,"forest"
"479",19.8893,110.6217,0.7132182,"forest"
"480",8.6,-78,0.048573631,"forest"
"481",8.6,-78,0.027086183,"forest"
"482",8.6,-78,0.069634703,"forest"
"483",8.6,-78,0.047211896,"forest"
"484",22.2,109.5,0.228351648,"forest"
"485",23.2,100.85,0.229679655,"forest"
"486",23.2,100.85,0.112850071,"forest"
"487",23.2,100.85,0.149201654,"forest"
"488",23.2,100.85,0.229648712,"forest"
"489",23.2,100.85,0.309226811,"forest"
"490",23.2,113.2,0.138018433,"forest"
"491",25.2,111.95,0.174271012,"forest"
"492",25.2,111.3,0.223185953,"forest"
"493",25.2,111.3,0.188511207,"forest"
"494",25.2,117.5,0.075270854,"forest"
"495",26.2,110.2,0.179463118,"forest"
"496",26.2,109.28,0.217153718,"forest"
"497",26.2,109.5,0.175238574,"forest"
"498",26.2,107.97,0.234288674,"forest"
"499",27.2,117.1,0.182337682,"forest"
"500",28.2,107,0.272217637,"forest"
"501",30.2,109.4,0.231242312,"forest"
"502",30.2,109.4,0.267385097,"forest"
"503",23.45,111.8833333,0.257290807,"forest"
"504",24.45,111.77,0.13309264,"forest"
"505",24.45,106.33,0.407068063,"forest"
"506",25.45,109.93,0.218094174,"forest"
"507",25.45,109.97,0.198805815,"forest"
"508",26.45,101.18,0.292693566,"forest"
"509",26.45,106.9833333,0.12213262,"forest"
"510",26.45,106.9833333,0.167609618,"forest"
"511",26.45,100.77,0.107996459,"forest"
"512",26.45,106.98,0.105682426,"forest"
"513",26.45,106.98,0.116126458,"forest"
"514",26.45,106.98,0.117595628,"forest"
"515",26.45,106.98,0.120090596,"forest"
"516",26.45,106.98,0.128008489,"forest"
"517",26.45,106.98,0.129562982,"forest"
"518",26.45,106.98,0.141224383,"forest"
"519",26.45,106.98,0.147129764,"forest"
"520",26.45,106.98,0.163524169,"forest"
"521",26.45,106.98,0.164015905,"forest"
"522",26.45,106.98,0.169328419,"forest"
"523",26.45,106.98,0.174165653,"forest"
"524",26.45,108.55,0.194787716,"forest"
"525",26.45,103.4,0.149,"forest"
"526",26.45,103.4,0.149141631,"forest"
"527",26.45,103.4,0.325342466,"forest"
"528",26.45,103.4,0.4114082,"forest"
"529",26.45,100.88,0.062446971,"forest"
"530",18.7,108.8,0.175341722,"forest"
"531",18.7,108.8,0.248836046,"forest"
"532",20.7,110,0.305560827,"forest"
"533",20.7,110.04,0.181063155,"forest"
"534",20.7,110.04,0.199675715,"forest"
"535",20.7,110.04,0.202467886,"forest"
"536",20.7,110.04,0.27037187,"forest"
"537",21.7,109.6,0.328229593,"forest"
"538",21.7,108.3,0.316945708,"forest"
"539",23.7,120.9,0.292367459,"forest"
"540",24.7,111.55,0.166275275,"forest"
"541",24.7,117.2,0.160930425,"forest"
"542",24.7,117.2,0.500931388,"forest"
"543",24.7,114.5,0.226928021,"forest"
"544",25.7,113.3,0.22019085,"forest"
"545",25.7,116.9,0.252705986,"forest"
"546",25.7,110,0.14648318,"forest"
"547",25.7,110,0.172209636,"forest"
"548",26.7,110.6,0.224433686,"forest"
"549",26.7,109.6,0.236831888,"forest"
"550",26.7,109.6,0.174040853,"forest"
"551",26.7,105.9,0.440550304,"forest"
"552",26.7,118,0.180618212,"forest"
"553",26.7,103.83,0.276186145,"forest"
"554",27.7,109.33,0.255147411,"forest"
"555",27.7,107.62,0.098593257,"forest"
"556",21.95,101.1666667,0.246030203,"forest"
"557",21.95,101.1666667,0.275182051,"forest"
"558",21.95,101.17,0.275182051,"forest"
"559",24.95,106.28,0.076615155,"forest"
"560",24.95,110.39,0.171943996,"forest"
"561",24.95,112.87,0.278113763,"forest"
"562",25.95,108.92,0.177629488,"forest"
"563",25.95,108.97,0.185989449,"forest"
"564",26.95,107.63,0.165970874,"forest"
"565",23.7598,105.0849,0.119831815,"forest"
"566",28.258,108.121,0.170740908,"forest"
"567",26.6339,109.3587,0.123165284,"forest"
"568",21.7589,108.4092,0.183774708,"forest"
"569",23.0053,110.6565,0.132932166,"forest"
"570",26.0044,110.4004,0.13658028,"forest"
"571",26.2544,113.6829,0.220562864,"forest"
"572",26.0017,110.6074,0.274267276,"forest"
"573",28.2517,108.4524,0.256087824,"forest"
"574",26.3767,106.9758,0.264581974,"forest"
"575",28.0026,120.6016,0.20494368,"forest"
"576",25.3749,108.1477,0.186576548,"forest"
"577",28.874,107.9204,0.248356345,"forest"
"578",25.7508,108.0965,0.462762783,"forest"
"579",22.5588,109.9926,0.219319938,"forest"
"580",25.8088,99.089,0.316934065,"forest"
"581",23.8079,109.7021,0.195218438,"forest"
"582",5.479488,102.932527,0.103703704,"forest"
"583",26.24,116.51,0.236689991,"forest"
"584",26.24,116.51,0.281605196,"forest"
"585",30.24,108.85,0.237847222,"forest"
"586",30.24,108.85,0.318007663,"forest"
"587",28.49,109.4,0.166970387,"forest"
"588",28.49,109.4,0.21424857,"forest"
"589",24.74,117.48,0.232816347,"forest"
"590",24.74,117.48,0.246879724,"forest"
"591",27.74,113.54,0.213504823,"forest"
"592",27.74,113.54,0.215137615,"forest"
"593",27.74,113.54,0.220381873,"forest"
"594",24.99,107.49,0.122107244,"forest"
"595",24.99,107.49,0.171766713,"forest"
"596",24.99,107.49,0.278926049,"forest"
"597",25.99,107.96,0.131390135,"forest"
"598",25.99,107.96,0.182235835,"forest"
"599",25.99,107.96,0.198907104,"forest"
"600",25.99,107.96,0.248,"forest"
"601",25.99,107.96,0.249066002,"forest"
"602",25.99,107.96,0.4375,"forest"
"603",2.847228,102.072563,0.245590345,"forest"
"604",26.4891,106.1746,0.240699917,"forest"
"605",26.7391,105.3727,0.140339253,"forest"
"606",26.3007,108.0021,0.259953602,"forest"
"607",27.3007,114.6033,0.201146959,"forest"
"608",24.9855,112.7437,0.241477625,"forest"
"609",24.7328,106.2308,0.070458695,"forest"
"610",5.502049,102.926878,0.118421053,"forest"
"611",25.6042,109.9822,0.184695577,"forest"
"612",25.106,108.6285,0.19305762,"forest"
"613",20.037286,110.705892,0.290066035,"forest"
"614",26.6051,117.9024,0.212504141,"forest"
"615",27.039,109.1348,0.107381058,"forest"
"616",26.6015,118.1091,0.220036939,"forest"
"617",25.7265,99.3814,0.091132455,"forest"
"618",28.1006,111.0031,0.201851571,"forest"
"619",28.5336,106.2495,0.205611746,"forest"
"620",24.9086,111.7054,0.185777231,"forest"
"621",5.439461,102.943238,0.094618834,"forest"
"622",23.03,108.51,0.185545518,"forest"
"623",23.03,108.51,0.239797189,"forest"
"624",23.03,108.51,0.24384862,"forest"
"625",23.03,108.51,0.258309644,"forest"
"626",24.03,121.12,0.285663483,"forest"
"627",25.03,106.12,0.212422577,"forest"
"628",27.03,109.13,0.107381058,"forest"
"629",27.03,109.43,0.223404255,"forest"
"630",28.03,108.12,0.124768457,"forest"
"631",24.28,106.33,0.602539854,"forest"
"632",25.28,99.68,0.333333333,"forest"
"633",25.28,99.73,0.377019414,"forest"
"634",25.28,116.12,0.330738481,"forest"
"635",25.28,99.85,0.099455297,"forest"
"636",25.28,99.78,0.092784366,"forest"
"637",26.28,113.63,0.235546834,"forest"
"638",28.28,105.87,0.143023882,"forest"
"639",24.53,101,0.079957855,"forest"
"640",25.53,110.1,0.217716115,"forest"
"641",26.53,110.57,0.240772835,"forest"
"642",26.53,117.99,0.15884101,"forest"
"643",26.53,108.92,0.227265087,"forest"
"644",27.53,108.45,0.248491957,"forest"
"645",27.53,108.37,0.275263775,"forest"
"646",28.53,105.93,0.190209032,"forest"
